ID,color_blind,yrs_english,video_games,device,headphones,order_of_levels,level1,sleep1,start_time1,OffTime1,OnTime1,Total_runs_Stroop_Off1,Total_runs_Stroop_On1,OnTime_minus_OffTime1,level2,sleep2,start_time2,OffTime2,OnTime2,Total_runs_Stroop_Off2,Total_runs_Stroop_On2,OnTime_minus_OffTime2,level3,sleep3,start_time3,OffTime3,OnTime3,Total_runs_Stroop_Off3,Total_runs_Stroop_On3,OnTime_minus_OffTime3,ID,,
19,No,8,Yes,iPhone / iPod,In-ear headphones; noise cancelling,Classical (Mozart);Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);,CLA,9.5,17:00:00,46.513,46.738,5,6,0.225,QUI,9.5,17:30:00,38.728,46.292,7,6,11.564,EDS,9.5,18:00:00,43.108,38.584,5,5,-4.524,19,,
20,No,16,No,Android phone,In-ear headphones; not noise cancelling,Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);,QUI,8,19:48:00,58.707,60.834,5,5,2.127,CLA,8,19:55:00,51.562,55.042,5,5,3.48,EDS,8,20:01:00,48.819,48.725,5,5,-0.094,20,,
21,No,5,Yes,iPhone / iPod,In-ear headphones; noise cancelling,Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);,QUI,8,14:30:00,64.422,68.845,5,5,4.422,EDS,8,14:40:00,70.973,74.591,5,5,3.618,CLA,8,14:47:00,62.503,66.603,5,5,4.1,21,,
22,No,19,Yes,iPhone / iPod,In-ear headphones; not noise cancelling,Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);,QUI,7,20:30:00,44.871,54.092,5,6,9.221,EDS,7,20:40:00,42.52,50.446,5,6,7.926,CLA,7,20:50:00,46.416,51.818,6,6,5.402,22,,
23,No,7,No,iPhone / iPod,In-ear headphones; not noise cancelling,,QUI,8,21:00:00,48.333,50.329,11,8,1.996,EDS,8,21:43:00,49.112,49.967,6,7,0.855,CLA,8,21:48:00,47.351,47.836,5,5,0.484,23,,
24,No,15,No,iPad tablet,Over-ear headphones; noise cancelling,Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);,EDS,6,19:00:00,53.592,56.983,7,11,3.391,CLA,6,19:00:00,55.44,60.68,11,6,5.241,QUI,6,N/A,52.866,57.312,7,11,4.447,24,,
25,No,5,Yes,iPhone / iPod,In-ear headphones; not noise cancelling,,QUI,10,11:37:00,56.938,60.618,11,10,3.68,CLA,10,23:44:00,51.24,52.274,7,10,1.034,EDS,10,23:50:00,49.983,52.905,5,6,2.922,25,,
26,No,4,Yes,iPad tablet,Over-ear headphones; not noise cancelling,Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);,QUI,8,20:44:00,57.557,65.089,7,6,7.532,CLA,8,12:43:12,58.263,55.857,5,5,-2.407,EDS,8,14:09:36,57.245,63.957,5,7,6.713,26,,
27,No,5,No,iPhone / iPod,In-ear headphones; not noise cancelling,,QUI,7,8:54:00,50.69,58.225,5,9,7.536,CLA,7,9:03:00,57.703,61.188,5,8,3.485,EDS,7,9:10:00,59.66,66.343,6,11,6.683,27,,
28,No,7,Yes,Android phone,In-ear headphones; not noise cancelling,Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);,QUI,5.5,19:56:00,59.355,68.949,5,5,9.594,EDS,5.5,21:47:00,57.37,58.717,5,5,1.347,CLA,5.5,21:55:00,54.17,62.17,5,5,8,28,,
29,No,6,No,iPad tablet,In-ear headphones; not noise cancelling,Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);,QUI,8,23:08:00,44.934,48.164,9,7,3.23,EDS,8,11:35:00,41.127,43.698,8,9,2.57,CLA,8,11:40:00,39.285,45.737,6,5,6.452,29,,
30,No,17,No,iPad tablet,In-ear headphones; not noise cancelling,Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);,EDS,7,12:00:00,43.034,49.521,5,5,6.487,CLA,7,12:00:00,43.178,44.558,6,5,1.388,QUI,7,12:00:00,41.26,43.353,5,5,2.094,30,,
31,No,6,Yes,iPhone / iPod,In-ear headphones; not noise cancelling,Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);,QUI,6,19:00:00,12,18,2,5,3,CLA,6,20:00:00,14,18,2,5,3,EDS,6,20:00:00,15,19,1,3,2,31,,
32,No,7,No,iPad tablet,In-ear headphones; not noise cancelling,,QUI,8,12:32:00,65.914,82.242,5,5,16.328,CLA,8,11:39:00,67.873,72.201,7,5,4.329,EDS,8,11:44:00,65.844,85.561,5,6,19.717,32,,
33,No,4,No,iPhone / iPod,In-ear headphones; not noise cancelling,Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);,QUI,8,15:51:00,58.646,72.688,5,6,14.043,EDS,8,16:04:00,60.809,66.892,6,7,6.082,CLA,8,16:09:00,59.48,61.53,6,5,2.05,33,,
34,No,6,No,iPhone / iPod,Over-ear headphones; not noise cancelling,Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);,QUI,6,20:40:00,59.428,65.819,5,6,6.387,EDS,6,20:50:00,56.561,63.715,5,5,7.154,CLA,6,21:00:00,55.465,61.847,5,5,6.382,34,,
35,No,8,Yes,Android phone,In-ear headphones; noise cancelling,,QUI,8,20:30:00,63.775,86.652,6,8,22.877,EDS,8,5:30:00,58.253,76.497,5,5,18.244,EDS,8,18:00:00,55.039,72.708,7,5,17.669,35,,
36,No,16,No,iPhone / iPod,In-ear headphones; not noise cancelling,Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);,QUI,8,8:00:00,66.446,72.914,6,6,6.467,CLA,8,N/A,58.412,74.849,8,7,16.436,EDS,8,N/A,61.265,64.047,7,6,2.782,36,,
37,No,4,No,iPhone / iPod,In-ear headphones; noise cancelling,Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);,QUI,7,15:00:00,61.042,62.32,7,5,1.278,EDS,7,15:10:00,60.624,66.755,5,7,6.131,CLA,7,15:20:00,67.178,65.705,5,6,-1.473,37,,
38,No,7,Yes,iPhone / iPod,Over-ear headphones; noise cancelling,Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);,QUI,10,17:08:00,43.112,49.378,6,8,6.267,CLA,10,17:16:00,42.012,43.625,7,7,1.613,EDS,10,17:21:00,43.133,43.771,5,7,0.637,38,,
39,No,3,No,iPhone / iPod,In-ear headphones; not noise cancelling,Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);,QUI,7,20:20:00,53.16,66.096,5,5,12.936,EDS,7,20:26:00,51.967,67.324,5,6,15.356,CLA,7,20:36:00,48.698,56.265,5,5,7.568,39,,
40,No,6,No,iPhone / iPod,In-ear headphones; not noise cancelling,Song with lyrics (Shape of You by Ed Sheeran);Control (quiet);Classical (Mozart);,EDS,8.5,20:16:00,62.703,63.815,5,6,1.111,QUI,8.5,20:21:00,59.879,66.752,5,5,6.873,CLA,8.5,20:26:00,61.35,63.202,5,5,1.852,40,,
41,No,7,No,iPhone / iPod,In-ear headphones; not noise cancelling,Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);,QUI,8,11:08:00,57.096,73.209,5,6,16.113,EDS,8,12:15:00,72.522,76.608,6,5,4.086,CLA,8,11:45:00,63.52,71.39,5,5,7.87,41,,
42,No,4,Yes,Android phone,Over-ear headphones; not noise cancelling,Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);,QUI,12,19:45:00,59.135,73.403,5,5,14.268,EDS,12,19:54:00,57.638,65.235,5,5,7.592,CLA,12,20:00:00,57.71,69.637,5,5,11.927,42,,
43,No,7,No,iPad tablet,In-ear headphones; not noise cancelling,Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);,QUI,8,9:15:00,62.085,76.32,5,5,14.235,EDS,8,21:22:00,62.45,65.634,5,5,3.184,CLA,8,21:31:00,56.9,64.779,5,5,7.878,43,,
44,No,7,Yes,iPhone / iPod,In-ear headphones; noise cancelling,,QUI,6,16:00:00,46.323,51.817,6,6,5.494,EDS,6,16:00:00,43.001,47.8,7,5,4.8,CLA,6,16:05:00,42.406,51.447,5,5,9.041,44,,
45,No,3,No,iPhone / iPod,In-ear headphones; not noise cancelling,Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);,QUI,7,10:45:00,47.726,50.895,6,6,3.17,EDS,7,22:51:00,47.448,53.969,5,6,6.521,CLA,7,22:56:00,45.983,48.044,6,6,2.061,45,,
46,No,7,No,iPhone / iPod,In-ear headphones; not noise cancelling,,QUI,8,20:53:00,50.503,60.853,8,5,10.35,EDS,8,21:04:00,49.129,61.407,6,5,12.277,CLA,8,21:11:00,50.121,54.166,5,8,4.045,46,,
47,No,14,Yes,iPad tablet,In-ear headphones; not noise cancelling,Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);,QUI,9,7:10:00,60.596,56.876,6,7,-3.72,EDS,9,7:15:00,55.827,63.426,5,9,7.599,CLA,9,7:20:00,50.972,59.825,6,5,8.853,47,,
48,No,4,No,iPhone / iPod,Over-ear headphones; not noise cancelling,Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);,QUI,8,20:00:00,56.101,62.819,9,7,6.718,EDS,8,20:10:00,53.515,62.697,8,9,9.182,CLA,8,20:15:00,55.162,59.435,7,6,4.274,48,,
49,No,10,Yes,Android phone,Over-ear headphones; not noise cancelling,Song with lyrics (Shape of You by Ed Sheeran);Control (quiet);Classical (Mozart);,EDS,5,19:00:00,60.755,74.557,5,5,13.802,QUI,5,19:00:00,62.438,75.747,5,5,13.309,CLA,5,19:00:00,65.292,73.546,5,5,8.254,49,,
50,No,4,No,iPad tablet,Over-ear headphones; not noise cancelling,Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);,QUI,7,22:45:00,58.931,82.433,5,5,23.502,CLA,7,23:12:00,68.291,86.641,5,5,18.35,EDS,7,23:22:00,64.307,69.609,5,5,5.303,50,,
51,No,6,Yes,iPhone / iPod,In-ear headphones; not noise cancelling,Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);Control (quiet);,QUI,7,22:00:00,61.011,68.933,7,11,7.922,EDS,5,9:00:00,60.08,63.202,7,6,3.121,QUI,7,1:00:00,56.05,62.18,7,6,6.131,51,,
